"filename", "language", "Lua", "JSON", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 0, 12, 0, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 0, 48, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 0, 2, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\AnimationController.lua", "Lua", 72, 0, 0, 0, 0, 0, 72
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Lua", 185, 0, 0, 0, 2, 0, 187
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Lua", 84, 0, 0, 0, 1, 0, 85
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Lua", 15, 0, 0, 0, 0, 1, 16
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockHitboxes\init.lua", "Lua", 21, 0, 0, 0, 0, 0, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks\init.lua", "Lua", 123, 0, 0, 0, 1, 19, 143
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Components.lua", "Lua", 23, 0, 0, 0, 0, 2, 25
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Lua", 50, 0, 0, 0, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Lua", 54, 0, 0, 0, 0, 2, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 35, 0, 0, 0, 0, 4, 39
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Lua", 28, 0, 0, 0, 0, 5, 33
