"filename", "language", "Lua", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Lua", 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks\init.lua", "Lua", 10, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 3, 0, 0, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Lua", 18, 0, 1, 19
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\CollisonHandler.lua", "Lua", -6, 0, 1, -5
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\ConversionUtils.lua", "Lua", 16, 1, 0, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Animator.lua", "Lua", 47, 0, 4, 51
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Render.lua", "Lua", 56, 21, 3, 80
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Updater.lua", "Lua", 14, 0, 0, 14
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\Utils.lua", "Lua", 308, 6, 15, 329
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\EntityHandlerV2\init.lua", "Lua", 220, 19, 4, 243
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\Debugger.lua", "Lua", -1, 1, 0, 0
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\ErrorHandler.lua", "Lua", 10, 0, 0, 10
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\Libarys\MathFunctions.lua", "Lua", 36, 1, 2, 39
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerScriptService\__Init__.server.lua", "Lua", 1, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\Deepslate\math\Utils.lua", "Lua", 0, 0, 1, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\GenerationMultiHandler.lua", "Lua", -4, 0, 0, -4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\DataHandler.lua", "Lua", 21, 0, -1, 20
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ServerStorage\ServerStuff\ServerChunk.lua", "Lua", 5, 0, -1, 4
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Controller.lua", "Lua", 5, 2, 0, 7
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\MultiHandler.lua", "Lua", -3, 0, 0, -3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Render\init.lua", "Lua", 2, 0, 0, 2
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\Test\EntityHandlerV2.lua", "Lua", 50, 0, 3, 53
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\StarterPlayer\StarterPlayerScripts\__init__.client.lua", "Lua", 1, 0, 0, 1
"Total", "-", 810, 51, 32, 893
