"filename", "language", "Lua", "JSON", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 0, 12, 0, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 0, 48, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 0, 2, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\AnimationController.lua", "Lua", 72, 0, 0, 0, 0, 0, 72
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Lua", 129, 0, 0, 0, 1, 1, 131
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Lua", 79, 0, 0, 0, 1, 0, 80
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockHitboxes\init.lua", "Lua", 21, 0, 0, 0, 0, 0, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks\init.lua", "Lua", 85, 0, 0, 0, 0, 13, 98
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Components.lua", "Lua", 24, 0, 0, 0, 0, 2, 26
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Lua", 34, 0, 0, 0, 0, 4, 38
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Lua", 44, 0, 0, 0, 8, 2, 54
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 34, 0, 0, 0, 0, 4, 38
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Lua", 28, 0, 0, 0, 0, 5, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Functions.lua", "Lua", 133, 0, 0, 0, 1, 3, 137
