"filename", "language", "Lua", "JSON", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\haoti\Documents\GitHub\blockgamev2\README.md", "Markdown", 0, 0, 12, 0, 0, 5, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\default.project.json", "JSON", 0, 48, 0, 0, 0, 0, 48
"c:\Users\haoti\Documents\GitHub\blockgamev2\rbxlx-to-rojo.log", "Log", 0, 0, 0, 2, 0, 1, 3
"c:\Users\haoti\Documents\GitHub\blockgamev2\sourcemap.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorHandler.lua", "Lua", 99, 0, 0, 0, 1, 5, 105
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Behaviors.lua", "Lua", 15, 0, 0, 0, 1, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Biomes\init.lua", "Lua", 16, 0, 0, 0, 0, 1, 17
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\BlockCollisionBoxes\init.lua", "Lua", 20, 0, 0, 0, 0, 1, 21
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Blocks\init.lua", "Lua", 1, 0, 0, 0, 0, 0, 1
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Crafting\init.lua", "Lua", 50, 0, 0, 0, 0, 6, 56
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Npc.lua", "Lua", 32, 0, 0, 0, 0, 4, 36
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\Player.lua", "Lua", 30, 0, 0, 0, 0, 3, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Entities\init.lua", "Lua", 28, 0, 0, 0, 0, 5, 33
"c:\Users\haoti\Documents\GitHub\blockgamev2\src\ReplicatedStorage\BehaviorPacks\Cubic\Features\init.lua", "Lua", 70, 0, 0, 0, 1, 2, 73
